昵称,用户id,头像,身高,学历,省份,城市,出生年份,性别,交友宣言
柠檬不柠,1017290,http://img.7799520.com/Fol1Lan7gGUY7MbJ9rS_t3fEJCbm,161,大专,甘肃,兰州,1990,2,想找一个真心爱我、共同创建美好生活的另一半...
盛夏小晴天,1017259,http://img.7799520.com/FpyjJuaZ9vJ3aVcAJC9ypSkBSLJl,164,大专,福建,龙岩,1991,2,相信感觉，相信缘分，真心真意……
西瓜,1017237,http://img.7799520.com/2018-03-22-1521714319-stD6MC2A.png,164,大专,广东,广州,1990,2,我希望以后都开开心心快快乐乐的
王紫傲,1016761,http://img.7799520.com/2018-03-22-1521658391-h1CcJHx5.png,160,本科,广东,深圳,1992,2,可爱的胖子
betty666,1016344,http://img.7799520.com/1ecf4aca-7dd2-42cb-b2e6-c6aba8ebf345,172,本科,广东,深圳,1992,2,性格直爽热情，平时是酷酷的，喜欢各种锻炼身体的活动，喜欢阅读，希望找到一个有趣的男孩子，可以分享快乐创造更多的幸福感，一起在深圳奋斗着快乐着。不做过多的预设，缘分是可遇不可求的，在寻找爱情的漫漫长路上，每一天都保持积极乐观的情绪，越变越好，说不定你就在拐角那旮旯呢。
芳芳666,1016222,http://img.7799520.com/2018-03-21-1521640401-8ishW8VY.png,156,大专,广东,东莞,1993,2,我是一个传统的贤惠的女子，热爱烹饪，当然也是个小吃货，当然尝遍了美食，期待你带给我新的食材新的菜品。偶尔会短途旅行，之前从事教育2年的时间，现在是做外贸，你可以没房没车，但是你一定要有责任心，要爱我疼我，最好你是广东的，如果性格合得来外省的也没关系。我是真心找对象的，希望能找到我的你
sasa589,1016023,http://img.7799520.com/2018-03-22-1521706620-80toKoMv.png,162,本科,广东,广州,1988,2,"单身是最好的增值时期，把生命活成一场盛宴，就成全了日后的自我拯救。生活中还有很多东西值得自己去细细体味。
生活的层次深浅，最终要依靠自己去决定。全身心投放，用新知识和眼界，升华自我。"
花莯蓝,1015878,http://img.7799520.com/2018-03-21-1521630269-meP2Eqfv.png,155,本科,广东,广州,1986,2,愿得一人心，再也不分离
命 .,1015768,http://img.7799520.com/626e0d70-1c31-4d9a-80e8-059677a21eee,160,初中,河南,南阳,1996,2,微信19943198841
小木木夕,1015619,http://img.7799520.com/2018-03-21-1521620228-gCPL42n0.png,160,硕士,湖南,长沙,1988,2,"诺不轻许，故我不负人。
诺不轻信，故人不负我。
诺不轻许，许则为之。"
木楼听雨,1015597,http://img.7799520.com/c40b60e4-b8f9-412a-b00f-670306333a91,158,中专,湖南,岳阳,1985,2,"大大咧咧，直爽，南方人，北方人的性格吧。
婚姻不愿意将就，不愿意为了结婚而结婚，要嫁给爱情。
我愿意等待，就算是孤独一人…
爱好摄影，厨艺，有点女汉子。不会针线活。"
嫣然一笑终成梦,1015454,http://img.7799520.com/d32a4b70-ef69-4522-aef6-ba4019863c54,217,大专,广东,广州,1980,2,"愿得一人心，白首不分离
身份证是1980年10月，实为1981年11月出生"
gKO,1015103,http://img.7799520.com/a3ccd9eb-d692-438c-b86e-da4cafbf3ed4,156,大专,海南,海口,1990,2,如果你是真的有心在找结婚对象，我们就互相坦诚地聊一聊！
爷的人,1014960,http://img.7799520.com/78bc5bcc-6a35-48f4-92b6-844984bf1a7a,163,中专,广东,广州,2000,2,找个帅帅的，高高的，会宠自己人的男盆友噢
喵喵喵⑥,1014514,http://img.7799520.com/3d67bc11-3347-47f5-af8f-0b06057e08e7,162,硕士,上海,上海,1991,2,所爱隔山海，山海皆可平
流年似水㏒,1014381,http://img.7799520.com/9df8ff3d-cce2-40c5-a119-a91a5b6ac7e1,156,中专,广东,惠州,1994,2,讨厌轰轰烈烈的爱情。但我相信陪伴一定是最好的告白。
冯惠婷,1014196,http://img.7799520.com/9f9c2e0d-0048-4d72-8d0e-5fda9ba7400d,155,中专,广东,广州,1999,2,愿得一人心，白首不分离
肥娜,1014116,http://img.7799520.com/ebbc3bc0-4322-43d1-bf0b-4c9534d23ff1,160,大专,广东,广州,1995,2,害羞的我一直没有找到自己的另一半，期待在这里找到属于自己的那份爱。
✿  浅忆‵微凉,1014104,http://img.7799520.com/d48b7123-ceaa-468f-bf07-761bfb4d5238,168,大专,海南,海口,1972,2,愿得一人心，白首不分离。
梦想家春丽,1014086,http://img.7799520.com/659c8d13-158a-46da-b1f4-67608813ddb3,156,大专,广东,广州,1990,2,"我属于善良温柔的,热情开朗。对自己有要求,定期安排学习进修,喜欢旅游,喜欢美好的东西。
我未来的伴侣是个俊朗的男士,成熟稳重,正直谦逊,有上进心,有责任心,对未来有清晰的规划和判断能力。热爱生活,幽默有趣。喜欢运动,会烹饪,健康的生活习惯,有良好的家教，懂得礼节，懂得感恩！和谐的原生家庭氛围，最好有基督信仰。"
迷路的天蝎座,1013994,http://img.7799520.com/2018-03-20-1521535718-KVrebsEJ.png,162,本科,广东,深圳,1987,2,"找一个携手一生的人感觉很难
不知不觉就蹉跎到现在了
我仍旧愿意相信爱情
愿意相信你一直在等我"
最美期待,1013930,http://img.7799520.com/2018-03-21-1521612293-7AwC28IC.png,160,高中,广东,广州,1987,2,最美的期待
梦仙儿,1013774,http://img.7799520.com/f0355a21-aa11-4f3c-8b7b-930287aadbd7,159,中专,广东,广州,1997,2,责任感 理想 胸襟 眼光 执行力 你感觉自己都有那我们就在一起
喵酱～,1013580,http://img.7799520.com/2018-03-20-1521519133-Y2E5leCB.png,166,本科,安徽,马鞍山,1992,2,寻有能力，有责任心，有眼缘的你，希望对的时间遇到对的人。
葱儿,1013413,http://img.7799520.com/3ff0f01b-101b-4fb4-b295-02160b59bd00,163,大专,江西,抚州,1989,2,目前在江西，人事行政类工作，长相一般，三观正，不愿将就，想要个有爱的他，有爱的家。不要求你有太多，一起努力就好。年纪也不小了，希望尽快遇到你！
张玮玮,1012695,http://img.7799520.com/2018-03-20-1521497938-OpRgNF9I.png,158,本科,广东,深圳,1990,2,"開心是一天，不開心也是一天，
讓我們一起開心大笑吧！"
木子木木彡,1012665,http://img.7799520.com/2018-03-19-1521472002-iXe1bz3b.png,160,中专,广东,广州,1988,2,愿天下有情人终成眷属
范小提,1012630,http://img.7799520.com/44d628a1-fd2f-41f2-be8a-31f50ddb05b8,172,大专,福建,福州,1992,2,第一次注册相亲网，并不是出于玩玩的心态，确实也到了应该考虑婚姻的年龄，希望能遇到合适的人。
丫头018,1012560,http://img.7799520.com/4ebc7a18-caf7-4b8c-a19a-0e578a4c79e7,160,本科,江苏,苏州,1993,2,择一城而终老，执一人而白首……我期待遇见你，三观相合，可以聊得来，简单而纯粹的就是因为喜欢你，而和你在一起……
小宝bbbb,1012409,http://img.7799520.com/e1d89f79-2d36-4d18-89b8-534fce4bbcea,153,本科,广东,广州,1992,2,希望傻傻的我能遇到那个爱笑的你
待我长发及腰时,1012406,http://img.7799520.com/d15a029e-6bfb-483a-bc23-199b03965c33,162,中专,江苏,苏州,1995,2,希望 你 我 真诚对待
丫头101,1012085,http://img.7799520.com/2026107b-3e0e-4925-ac44-855f8ad83280,160,中专,广东,广州,1993,2,身高只考虑170以上的，谢谢
Annelisa,1011977,http://img.7799520.com/FiKWkBpmchJo5BWE8knypbgYVAvt,160,本科,上海,上海,1993,2,"愿得一人心，执子之手，与子偕老
请看好条件，不符合的我不会回的
那些约炮聊骚的滚远点
删掉人浪费我时间"
米菲儿,1011745,http://img.7799520.com/2018-03-21-1521632280-XI5WcRUy.png,165,初中,上海,上海,1994,2,认识就知道啦
红蓝黄青蓝,1011615,http://img.7799520.com/af27b92d-a608-4830-af00-38f4afd1bda5,160,大专,福建,厦门,1972,2,"阳光，上进，旅行，是我选择的首要条件
 
你给我一个未来，我让你幸福感爆棚"
软糯糯,1011598,http://img.7799520.com/91e3cfa6-cf60-4b9c-81de-76fc37c9ff07,167,高中,湖北,武汉,1994,2,不会化妆的傻甜白，找一个宠我的
翅膀下的风,1011381,http://img.7799520.com/2018-03-19-1521457553-BU3v6Jpv.png,163,大专,浙江,杭州,1983,2,但愿在人海中遇见你，有幸相识相知，相扶相持相爱相惜过一生。
油菜花xx,1010699,http://img.7799520.com/2018-03-19-1521459893-CRIlJ0vm.png,160,大专,广东,广州,1995,2,我才23岁，超过32岁的大叔们还是不要打扰了，因为每天好多消息，看的很累，谢谢谅解。
十万八千里000,1010591,http://img.7799520.com/b0d058c3-f87c-407c-99f8-24ba028d2d09,155,本科,广东,深圳,1991,2,这个躁动的社会，貌似让爱情变得没有那么纯。但我依然信爱在人间，希望找一位互相有好感的，认认真真在一起。
森林的孩子,1010545,http://img.7799520.com/2018-03-19-1521426032-boj3hgWM.png,167,硕士,广东,广州,1987,2,简简单单，阳光灿烂。找一个人共走人生路，非诚勿扰。37岁以上勿扰。
R‘yanyan,1010538,http://img.7799520.com/2018-03-23-1521798720-oamji9va.png,171,本科,上海,上海,1989,2,非诚勿扰
芥末贪凉,1009969,http://img.7799520.com/2018-03-18-1521375346-HBSez44R.png,158,本科,江苏,南京,1992,2,真心找对象，拒绝约炮等一切婚前性行为。
再给我一首歌,1009896,http://img.7799520.com/2018-03-19-1521430882-rKtJlvLl.png,150,大专,广东,广州,1988,2,找个人陪我一起去想去的地方
蒲成,1009711,http://img.7799520.com/2018-03-18-1521354211-ZpW7FaJc.png,163,高中,四川,雅安,1988,2,想找一个有责任心，会关心家人，孝顺父母的
wj文娟,1009685,http://img.7799520.com/55d514eb-701d-4732-a6ee-535de3fa614d,168,中专,上海,上海,1997,2,也许我很平凡，但是我绝不缺乏生活的热情和生命的梦想，也许我会孤单，但是我会一路找寻你的踪迹。遇见你，将是我生命中最绚烂的时刻。
菇凉的夏天,1009262,http://img.7799520.com/569fd3df-d1a8-4bf4-bd6e-5f229a701582,162,中专,上海,上海,1993,2,相遇即是缘分，希望能够找到幽默风趣，能够照顾人的你，
妮妮zZ,1008453,http://img.7799520.com/aa5e5f80-ecd8-4a02-8585-738fa6b999fa,158,本科,广东,广州,1991,2,三观符合，合眼缘，感觉对，就是你了～
红粉水水,1008414,http://img.7799520.com/2018-03-18-1521341827-lFd4MDAn.png,162,大专,福建,厦门,1986,2,陪伴才是最长久的告白！
Miya升级打怪,1007987,http://img.7799520.com/2018-03-17-1521292002-aTwcTuOu.png,161,大专,四川,成都,1992,2,最浪漫的事是：执子之手，与子偕老；最感动的话语是：执子之手，与子偕老；最幸福的事是：执子之手，与子偕老。
小美棠,1007893,http://img.7799520.com/f1807249-f789-404c-88a1-2114497ea09f,160,本科,重庆,重庆,1992,2,愿得一人心，白首不分离
大草宝宝,1007780,http://img.7799520.com/237ecf87-c083-497d-87dd-9188363b9988,152,中专,上海,上海,1999,2,愿得一人心，白首不分离
Dinan,1006918,http://img.7799520.com/323e50f0-0df9-4eb6-9783-ddd629d18167,156,大专,广东,深圳,1997,2,我梦想中的你，既有那么一点点的肉感，又有那么一点点的身材，可以静静的靠在你的肩膀，又可以享受背上的温暖，有那么一点小霸道但是有时候又是那么温柔，有时候一起去海边吹吹海风，有时候一起爬爬山，我拖着你的衣袖为你擦擦汗，平常没事的时候可以静静的待着，你做自己的事情，我在旁边静静的看着，其实幸福好像就是这么简单
火百合～,1006804,http://img.7799520.com/2018-03-17-1521245605-c1o65TMZ.png,156,高中,广东,茂名,1992,2,愿得一人心，白首不相离。外面的诱惑太多，千万别迷失自己。
清漪,1006399,http://img.7799520.com/2018-03-21-1521613547-8BkR9YV2.png,160,本科,广东,深圳,1992,2,不要有孩子的，不要有老婆的，不要准备找小三的
知T是海你却愿意,1006323,http://img.7799520.com/961e0e0f-ebde-4457-bccc-b2ee785de341,157,中专,广东,深圳,1998,2,你心有我，我心有你，简简单单一辈子。
哭到笑才叫痛,1006100,http://img.7799520.com/ad33654f-7c54-4854-9b1f-feadd95b5b5e,165,本科,江苏,南京,1997,2,如果让我在这里遇见你，会不会是个奇迹呢，曾经无数次幻想过未来另一半的样子，朦胧而亲切，找寻至今，我才相信，爱情终究是缘分，茫茫人海两个人的相识相爱，本身就是一种巧合，你会是我的那个巧合吗？
海兮,1005929,http://img.7799520.com/2018-03-17-1521288895-a07eb5Hl.png,160,本科,上海,上海,1990,2,人生匆匆，太多的人，太多的事在每一个不是巧合的巧合中错过着时间，改变着一切。希望能借助这个平台找一个在精神层面能够交流，且彼此相互尊重，相濡以沫的人，不求大富大贵，只求平平淡淡，且希望对方是一个豁达的人，不喜欢小气的男士。本人是一个简简单单的人，不喜欢勾心斗角，希望另一半也是一个简单的人，暂时不接受离异的男士。
Fleure,1005686,http://img.7799520.com/2018-03-16-1521208229-OOUJnZRI.png,160,本科,江苏,苏州,1994,2,愿你甘愿追随我到海角天涯
凤尾兰,1005356,http://img.7799520.com/2018-03-16-1521197837-ThgECYC5.png,166,初中,广东,广州,1996,2,转角遇见你，刚刚好！
Be-loved,1005348,http://img.7799520.com/48d40af7-3736-4fb9-afc1-4c1f4cc2c75b,165,本科,上海,上海,1990,2,"年龄是83的，资料里改不了了，在此更正。
其余都是对的，本人显年轻，照片都是最近的，见过人就知道了。"
(ง •̀_•缘,1004868,http://img.7799520.com/adeded0c-163a-4f14-b2d0-7fa0d8c2482f,164,大专,广东,广州,1991,2,愿得一人心，白首不分离
青青一直都在,1004865,http://img.7799520.com/2018-03-16-1521172446-lE6nZw9R.png,163,大专,浙江,杭州,1994,2,海边微风起，等风也等你
Yimi琳,1004814,http://img.7799520.com/2018-03-18-1521354759-51TeV6L3.png,155,高中,贵州,贵阳,1993,2,你刚好成熟，我刚好温柔，最好的年纪遇到最对的人才是最美的童话。
依然珍惜,1004764,http://img.7799520.com/2018-03-18-1521386324-9w47E0nB.png,161,高中,广东,深圳,1994,2,佛系派女生，不喜欢手机游戏迷，抽烟的男生
HL王木木,1003827,http://img.7799520.com/2018-03-15-1521126924-CBLXZee0.png,162,本科,广东,广州,1986,2,潮汕人，随父母在广州生活20多年了，个人随性简单，动静皆可，喜欢旅游、美食、电影、羽毛球。希望你合眼缘聊的来，同步过简单小生活~诚心交友，不想浪费大家时间，所以…无相片、非居住广州、有婚史、约P的请勿扰！谢谢！
萌晨,1003208,http://img.7799520.com/2018-03-15-1521112435-PABCGadq.png,160,高中,湖北,武汉,1992,2,愿有人陪我颠沛流离
人土土人土土,1003177,http://img.7799520.com/2018-03-15-1521111177-T4fa7DK9.png,158,大专,江苏,南京,1990,2,我是一个活泼开朗的，脾气有点坏坏的，追求完美的爱情
*遇见*,1003087,http://img.7799520.com/ad7a1aee-d913-4eea-8a1c-e2d4d314a483,165,高中,江苏,宿迁,1996,2,找一个有担当，积极，有主见，不求你大富大贵，但求你有上进心
乖妮妮,1002983,http://img.7799520.com/5fba7f72-1e33-41c7-a213-f615bcea2665,158,高中,广东,广州,1992,2,你好，我是来找另一半的，我对另一半的要求不高，我不求他大富大贵，我只想他是个实实在在的人，有上进心的男人。两个人能携手共度一生，有个幸福美满的家庭
苗薇宣,1002956,http://img.7799520.com/8b4d5f96-91b2-4d60-aeef-2c0356b99008,156,大专,广东,深圳,1989,2,"我是湖北黄冈人，出生于89年农历九月底，12年大学毕业后就来到了深圳，一直从事采购工作，在毕业第五年的17年，我转行到了保险行业，目前在中国平安上班。因个人性格及圈子的限制，一直没有找到那个想一直走下去的Mr.right.
我的要求并不高:87—89年，大专以上学历，湖北人优先考虑，不接受异地，离婚或已婚丧偶的。"
萍N,1002891,http://img.7799520.com/800a8650-1e20-4b42-b282-c61620ab159c,162,中专,四川,广元,1988,2,只要你在我身上赌，拼了命的不会让你输
静止若轩,1002884,http://img.7799520.com/2018-03-15-1521128821-roL2vZZN.png,165,本科,广东,深圳,1993,2,32岁以下勿扰，谢谢！
宇宝儿,1002825,http://img.7799520.com/c2c699e5-5d38-4cfe-a407-14991bb1f394,160,本科,上海,上海,1991,2,从此之后不单身
失败是成功他爹,1002743,http://img.7799520.com/0030-03-16-1521185283-Oni8xqsH.png,163,初中,福建,厦门,1989,2,找个适合的人聊一聊
嘟嘟肉,1002668,http://img.7799520.com/2018-03-15-1521110287-ixEmV4CZ.png,164,高中,四川,成都,1996,2,"两只黄鹂鸣翠柳，你还没有蓝盆友。


哈哈哈啊哈"
伊菲儿,1002521,http://img.7799520.com/2018-03-15-1521101006-Hh01xhJT.png,166,大专,广东,深圳,1990,2,爱笑的眼睛。执子之手，与子偕老。
谁让容言乱了流年,1001717,http://img.7799520.com/b1581c04-682f-469f-90d9-6f3704967ffc,153,初中,广东,深圳,1983,2,本人离异单身，一男一女，两个孩子的妈妈，如果你不怕压力大，可以试着交往，非诚勿扰
Jocelyn.,1001575,http://img.7799520.com/9cffee0c-b0f5-4c47-aa24-18e4b58763fc,166,本科,广东,广州,1995,2,在茫茫人海之中，轻唤一声，我的爱，我们相视一笑，那是彼此才能会心解读的浪漫回音。
V·诗冉,1001555,http://img.7799520.com/2018-03-15-1521098578-ty82Qk95.png,160,本科,浙江,杭州,1992,2,"寻一位阳光、人品好的另一半～
对幸福的理解：是两个人性格合得来，相互关心和包容、相处可以很随意自在，能够共同成长，有空一起做做饭、看看电影、养个宠物、手牵着手散步、运动、去旅游、偶尔和朋友一起聚个会、露营BBQ，简单的幸福就够了…
有眼缘，价值观匹配的请牵走我吧！"
叽里咕噜1,1001483,http://img.7799520.com/e5da28fa-1247-471f-8bc0-0d75c105b8bb,160,大专,四川,成都,1991,2,等着民政局发对象结婚
雅茹218,1001439,http://img.7799520.com/2018-03-15-1521044463-maLnpFDk.png,169,大专,江苏,南京,1991,2,35岁以上勿扰，离异勿扰
樱桃小姐,1001360,http://img.7799520.com/2018-03-15-1521104525-L1vMP9SO.png,158,本科,上海,上海,1990,2,资料弄错了，不是北京的，老家大连，父母都在上海
cici莉,1001200,http://img.7799520.com/ac4ce18a-8ddc-43be-b84b-cfb2cadf11f9,160,大专,上海,上海,1981,2,害羞的我一直没有找到自己的另一半，期待在这里找到属于自己的那份爱。
小白0321,1001131,http://img.7799520.com/2018-03-14-1521029764-ZoKLnwM9.png,158,本科,上海,上海,1991,2,坦诚相待，爱我所爱
等待555,1000965,http://img.7799520.com/7b72862d-b19e-406c-9b54-7e22ecceaedc,167,大专,山东,青岛,1993,2,"本人是青岛莱西人，想找一个莱西的，年龄25-28岁，身高175-185，体重60-75kg,颜值尚可，专科以上学历，有车有房，非诚勿扰，望理解"
落叶自然,1000951,http://img.7799520.com/d8316799-b310-4c76-8370-c27cdf48a195,163,大专,安徽,阜阳,1992,2,一直很孤单，
詹大大大大大小姐,1000523,http://img.7799520.com/2018-03-14-1521005736-aSL9d2jV.png,162,大专,广东,广州,1995,2,总会等到对的人，说晚安！
贾星星,1000343,http://img.7799520.com/2018-03-15-1521047564-TPL7Foh7.png,156,高中,福建,福州,1993,2,如果你也刚好跟我一样喜欢宠物……
怪脾气i,1000290,http://img.7799520.com/1221945e-0aaa-4197-8f13-ee942499239a,168,大专,江苏,南京,1999,2,是我的就是我的 不是我的我也不会碰
你努力给谁看,1000238,http://img.7799520.com/d302e779-7305-42c2-8d80-6c046b29faa6,168,本科,江苏,南京,1995,2,"自己：爱看动漫，电影（很迷科幻悬疑之类的），打游戏，性格时而很皮时而很安静，文艺兼逗比，会烧饭洗衣换灯泡补轮胎还有吹牛逼。
你：年龄那肯定是要比我大的，个子要高高的，我也挺显高的，也喜欢看电影，如果也看动漫那就更棒了，能够好好上班，有上进心，能够管管我，因为我自觉性有点差但是我很听话，能有时间带我出去玩。
另：至少相处一年才会决定结婚。"
Amy主人,999576,http://img.7799520.com/435939ff-faf4-4313-80b5-3c4d87d95a96,162,初中,广东,广州,1999,2,"你可以高高的，但绝不能矮矮的(172以上)
你可以胖胖的，但绝不能瘦瘦的
你可以有一点点大男子主义，但绝不能小肚鸡肠
你可以很爱你的父母，但绝不能是妈宝;
希望你是广州人，或者和我一样所有家人都在广州内发展的，这样到时候照顾双方父母都方便，毕竟父母都会老，她们也都希望孩子们能多陪陪她们"
时 间 煮 雨,999537,http://img.7799520.com/1932942e-239d-4ded-bd1b-3585ffcb7bd5,165,高中,广东,深圳,1989,2,本人爱家庭，爱生活，爱生命，来到这里只想邂逅一位相互适合的男士，携手同行走进婚姻的殿堂，陪伴一生！选择什么样的伴侣就选择什么样的人生，不管是本人主动发件还是发件给本人的男士，如果并非真心实意，烦请别回本人信件，谢谢，非诚勿扰！
leo狮子座,999344,http://img.7799520.com/4a58a0aa-550e-451e-94ca-2c69f674efef,168,中专,上海,上海,1994,2,找对象，谈结婚的，希望可以走到最后
露露酱,999304,http://img.7799520.com/2018-03-23-1521783072-zubFiLru.png,156,大专,上海,上海,1993,2,找个脾气好的老实人
晓琴儿,999263,http://img.7799520.com/2018-03-18-1521364981-StXq8yBt.png,162,中专,上海,上海,1986,2,自然，舒展
日月凌空,999206,http://img.7799520.com/dc82f6dd-9a4e-45bb-a2bb-c81d3c66fb40,160,高中,湖北,武汉,1980,2,123758494664
吖 吖,999086,http://img.7799520.com/1c3d9fb8-eb30-4784-a276-15339187d96a,165,中专,重庆,重庆,1978,2,如果让我在这里遇见你，会不会是个奇迹呢，曾经无数次幻想过未来另一半的样子，朦胧而亲切，找寻至今，我才相信，爱情终究是缘分，茫茫人海两个人的相识相爱，本身就是一种巧合，你会是我的那个巧合吗？
妮妮001,998622,http://img.7799520.com/2018-03-14-1521028664-TztObfD8.png,160,本科,上海,上海,1990,2,也许我很平凡，但是我绝不缺乏生活的热情和生命的梦想，也许我会孤单，但是我会一路找寻你的踪迹。遇见你，将是我生命中最绚烂的时刻。
刘园,998308,http://img.7799520.com/2018-03-14-1521016104-iTN1HSkx.png,163,本科,上海,上海,1988,2,希望能嫁给爱情。
Lady茉莉,998292,http://img.7799520.com/f00ae16d-2b24-4554-bf65-fe9fb180db58,164,大专,浙江,杭州,1979,2,我是一位爱家顾家的女性，理想的婚姻就是工作之余能互相陪伴，一起坐阳台上晒太阳，喝茶聊天。我在家烧好饭等你下班，而你只需给我一个拥抱！
zzr123,997630,http://img.7799520.com/be4d65ae-9f14-4827-8ec6-890e69d5bf64,155,本科,湖南,长沙,1986,2,愿得一人心，白首不分离
起名真系好麻烦,997235,http://img.7799520.com/2018-03-21-1521590122-HjQc6YMU.png,160,大专,广东,广州,1991,2,门当户对，找一份好的爱情，然后嫁给幸福。
x x x x ,997148,http://img.7799520.com/2018-03-12-1520868218-YvGYsh5T.png,154,大专,福建,厦门,1991,2,若不是真心请勿打扰，本人只接受26-29年龄段福建人，有点儿外貌协会，请想好再找我聊
心心析析,996873,http://img.7799520.com/2018-03-12-1520861170-GCsCY9v4.png,155,本科,上海,上海,1988,2,玲珑骰子安红豆，入骨相思知不知
小臣,996479,http://img.7799520.com/6b61734c-409e-46e2-9012-0d2775b78a1b,158,高中,广东,广州,1995,2,希望在花都生活
真诚征婚&阿红,996421,http://img.7799520.com/e5b5dea4-bc75-4553-ad36-db03d26816f9,168,大专,广东,广州,1982,2,愿得一人心，白首不分离! 本人真诚征婚，非诚勿扰！谢谢！
柯晓晓,996177,http://img.7799520.com/2018-03-12-1520851027-30y1uqOD.png,156,大专,广东,云浮,1990,2,丑女一枚。我只是一个普普通通的女孩，只想要找个爱我的他，拥有属于我们的小小幸福。偶尔牵手看看电影相约日出日落！非诚勿扰，骗子勿扰！
栎琦,996105,http://img.7799520.com/2018-03-12-1520866922-dntoB1b4.png,166,本科,上海,上海,1983,2,愿我们相互欣赏、彼此成就！
枝枝666,995739,http://img.7799520.com/2018-03-13-1520911029-fzH7tmFu.png,163,大专,湖北,武汉,1989,2,一切终归平淡，不忘初心，方得始终，希望在武汉有个家，踏踏实实过日子，开心就好！
4255,995319,http://img.7799520.com/3b3f67fc-6f09-47e3-a4cf-1d98dabb99e6,157,本科,上海,上海,1979,2,"时间悄悄的就过去了，我还没有思考就是大家眼中的剩女了，呵呵,期待稳定安静的生活"
星星小朋友,995195,http://img.7799520.com/2018-03-11-1520773337-33zgmrW1.png,162,高中,广东,广州,1990,2,认真找适合一辈子的，交朋友的勿扰，骗子勿扰
黄隽eva,994901,http://img.7799520.com/2018-03-11-1520763827-8THSpXIM.png,168,大专,上海,上海,1980,2,以诚相待
Can’t,994819,http://img.7799520.com/2018-03-11-1520760202-Dp0kkzhW.png,163,本科,广东,深圳,1990,2,"扩大朋友圈,聊的来的可以在一起试试"
遇见真他,994438,http://img.7799520.com/b382c07d-ddde-46f3-a2b0-bda6f12af707,168,大专,上海,上海,1981,2,靠谱正面，善解人意，注重精神层面的契合度。兜兜转转，坎坎坷坷，如果真的有一个注定的他，愿他快出现！追求真，善，智慧。信因果。
思绪旭,994378,http://img.7799520.com/2018-03-11-1520745461-VrC4wOv3.png,163,本科,江苏,苏州,1992,2,专一！专一！一定要专一！
